
2024/07/22 (12:26:57) | ===> btop++ v.1.3.2
2024/07/22 (12:26:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/22 (12:29:42) | ===> btop++ v.1.3.2
2024/07/22 (12:29:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/22 (12:35:29) | ===> btop++ v.1.3.2
2024/07/22 (12:35:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/23 (00:27:55) | ===> btop++ v.1.3.2
2024/07/23 (00:27:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/23 (01:00:56) | ===> btop++ v.1.3.2
2024/07/23 (01:00:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/23 (02:26:53) | ===> btop++ v.1.3.2
2024/07/23 (02:26:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/23 (23:43:30) | ===> btop++ v.1.3.2
2024/07/23 (23:43:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/25 (00:24:28) | ===> btop++ v.1.3.2
2024/07/25 (00:24:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/25 (02:56:41) | ===> btop++ v.1.3.2
2024/07/25 (02:56:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/25 (03:06:37) | ===> btop++ v.1.3.2
2024/07/25 (03:06:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/25 (22:51:32) | ===> btop++ v.1.3.2
2024/07/25 (22:51:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (00:06:42) | ===> btop++ v.1.3.2
2024/07/28 (00:06:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (00:06:59) | ===> btop++ v.1.3.2
2024/07/28 (00:06:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (00:07:47) | ===> btop++ v.1.3.2
2024/07/28 (00:07:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (01:02:37) | ===> btop++ v.1.3.2
2024/07/28 (01:02:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (01:05:51) | ===> btop++ v.1.3.2
2024/07/28 (01:05:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (01:27:08) | ===> btop++ v.1.3.2
2024/07/28 (01:27:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
